Plot.Year,AUPA,BEGL,CAAQ,CACA,CACH,CAGI,CAST1,CAST2,CHCA,CLAM,CLCE,CLCR,CLEC,CLGR,CLMI,CLPY,DIUN,DRRO,EQSC,ERCH,ERVA,FLCU,HYSP,LALA,LEDE,LEGR,METR,MYAN,OXMI,PEAP,PELA,PENE,PESC,PEVE,PIMA,PLSC,POST,PTCR,RHPS,RUCH,SAPE,SPAN,SPCA,SPFU,SPGI,SPMA,SPRI,SPSQ,SPUNK1,SPUNK2,SPUNK3,SPWA,TONI,UNK1,UNK2,UNK3,UNK4,UNK5,UNKGR,UNKSH,VAUL,VAVI
AM-SD1-18,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
AM-SD1-19,5,0,1,0,14,0,0,0,10,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
AM-SD2-17,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-SD2-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-SD2-19,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-SD3-17,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,40,0,0,0,10,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
AM-SD3-18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
AM-SD3-19,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,100,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PP-C1-17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,20,5,0,0,40,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,15
PP-C1-18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,10,5,0,0,50,0,0,0,0,0,0,0,0,0,0,30,0,20,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
