PlotID,PlotName,Area,Side,HistoricalName,Location,Thaw Stage,StageNum,Year,Stage.Year,Treatment,Replicate,WardCluster,ClustNum,MaxThaw,IceChange17to19,IceHistAVG,IceChangeHistTo19,Soil.moisture.mV,Soil.temp.C,JulyPeakMeth.umol/m2/min,Cum.CH4.umol,Cum.CH4.mol,Cum.CH4.gC,JulyNEE,Cum.NEE.umol,Cum.NEE.mol,Cum.NEE.gC,JulyER,PeakER,GPP,Cum.ER.umol.day,Richness,Closs.umol.m2,Closs.mol.m2,Closs.gC.m2,Graminoids,Ericoids,Sphagna
PP-C4-17,PPC4,PP,CAT,Snow,PPBo,1-Early,2,2017,1-Early2017,C,4,D,2,61,0,46,15,237,8.3,1.777869898,224354.6523,0.224354652,2.694656422,-3.140660965,-52.4803029,-5.24803E-05,-0.000630325,2.242788903,6.312350289,9.453011254,829018.7643,11,224302.172,0.224302172,2.694026097,31,70,69
PP-C4-18,PPC4,PP,CAT,Snow,PPBo,1-Early,2,2018,1-Early2018,C,4,D,2,76,15,46,30,886,17.8,2.468390551,302720.985,0.302720985,3.635890935,-4.486700737,-96.16640147,-9.61664E-05,-0.001155026,3.691636164,9.352183862,13.8388846,1011410.24,16,302624.8186,0.302624819,3.634735909,35,47,50
PP-C4-19,PPC4,PP,CAT,Snow,PPBo,1-Early,2,2019,1-Early2019,C,4,D,2,78,17,46,32,283,12.5,19.45192166,709534.9715,0.709534972,8.522011682,-1.462141121,-57.29126728,-5.72913E-05,-0.000688108,7.524229346,11.50395624,12.96609736,1334263.041,13,709477.6802,0.70947768,8.521323574,31,35,66
PP-CH1-17,PPCH1,PP,MRT,Control,PPBo,1-Early,2,2017,1-Early2017,CH,1,D,2,70,0,46,24,485,0,3.443725766,361171.9195,0.36117192,4.337927574,0.978910066,-25.49913511,-2.54991E-05,-0.000306262,6.067846818,4.813946498,5.088936752,672402.983,16,361146.4204,0.36114642,4.337621311,40,32,80
PP-CH1-18,PPCH1,PP,MRT,Control,PPBo,1-Early,2,2018,1-Early2018,CH,1,A,1,88,18,46,42,624,8.3,6.542992027,446177.6251,0.446177625,5.358905602,0,-169.4277252,-0.000169428,-0.002034946,5.865010002,6.308449581,6.308449581,707879.738,13,446008.1974,0.446008197,5.356870656,30,40,87
PP-CH1-19,PPCH1,PP,MRT,Control,PPBo,1-Early,2,2019,1-Early2019,CH,1,D,2,98,28,46,52,443,7.8,5.656426878,641642.7755,0.641642776,7.706578884,-2.101535991,-79.97256713,-7.99726E-05,-0.000960527,7.302066294,6.109749879,9.403602285,718264.0228,13,641562.8029,0.641562803,7.705618357,30,52,74
PP-CH2-17,PPCH2,PP,MRT,Control,PPSt,0-Stable,1,2017,0-Stable2017,CH,2,D,2,51,0,46,5,330,3.2,0.9091309,86842.19114,0.086842191,1.043035505,-4.150826136,186.7182636,0.000186718,0.002242617,6.128248691,7.516723438,11.66754957,955134.8102,12,87028.9094,0.087028909,1.045278122,25,140,50
PP-CH2-18,PPCH2,PP,MRT,Control,PPSt,0-Stable,1,2018,0-Stable2018,CH,2,D,2,48,-3,46,2,548,13.7,0.789607043,96990.33661,0.096990337,1.164921836,0,259.9407587,0.000259941,0.00312207,9.871982755,7.719973966,9.871982755,1002723.689,17,97250.27737,0.097250277,1.168043906,25,61,80
PP-CH2-19,PPCH2,PP,MRT,Control,PPSt,0-Stable,1,2019,0-Stable2019,CH,2,D,2,49,-2,46,3,491,10.1,1.048291288,128294.4353,0.128294435,1.540905974,-0.815898092,-74.39421551,-7.43942E-05,-0.000893527,4.679253868,8.841545722,9.657443814,927253.7125,10,128220.0411,0.128220041,1.540012447,26,51,82
PP-CH3-17,PPCH3,PP,CAT,Snow,PPBo,1-Early,2,2017,1-Early2017,CH,3,D,2,92,0,46,46,245,10.3,4.767570153,592988.125,0.592988125,7.122202473,0,-48.60624971,-4.86062E-05,-0.000583795,7.102125458,5.549761873,7.102125458,704467.0582,12,592939.5188,0.592939519,7.121618678,10,38,90
